# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 2  background -1
# vertex 0  108 86  objz -0.7500000000  wantcode 57343.1250
# vertex 1  89 105  objz 0.5500000000  wantcode 14745.3750
# vertex 2  47 220  objz 0.1000000000  wantcode 29490.7500
# counters drawn=1 software=0 unsupported=0 declined=0
# depth starts clamped: 0
# mode hardware
P 87 122 35253 1
P 88 122 38987 1
P 89 122 42721 1
P 90 122 46454 1
P 82 123 18075 1
P 83 123 21809 1
P 84 123 25543 1
P 85 123 29277 1
P 86 123 33011 1
P 87 123 36745 1
P 88 123 40479 1
P 89 123 44213 1
P 90 123 47946 1
P 82 124 19567 1
P 83 124 23301 1
P 84 124 27035 1
P 85 124 30769 1
P 86 124 34503 1
P 87 124 38237 1
P 88 124 41971 1
P 89 124 45704 1
P 82 125 21059 1
P 83 125 24793 1
P 84 125 28527 1
P 85 125 32261 1
P 86 125 35995 1
P 87 125 39729 1
P 88 125 43462 1
P 89 125 47196 1
P 81 126 18817 1
P 82 126 22551 1
P 83 126 26285 1
P 84 126 30019 1
P 85 126 33753 1
P 86 126 37487 1
P 87 126 41220 1
P 88 126 44954 1
P 89 126 48688 1
P 81 127 20309 1
P 82 127 24043 1
P 83 127 27777 1
P 84 127 31511 1
P 85 127 35245 1
P 86 127 38978 1
P 87 127 42712 1
P 88 127 46446 1
P 80 128 18067 1
P 81 128 21801 1
P 82 128 25535 1
P 83 128 29269 1
P 84 128 33003 1
P 85 128 36736 1
P 86 128 40470 1
P 87 128 44204 1
P 88 128 47938 1
P 80 129 19559 1
P 81 129 23293 1
P 82 129 27027 1
P 83 129 30761 1
P 84 129 34494 1
P 85 129 38228 1
P 86 129 41962 1
P 87 129 45696 1
P 80 130 21051 1
P 81 130 24785 1
P 82 130 28519 1
P 83 130 32252 1
P 84 130 35986 1
P 85 130 39720 1
P 86 130 43454 1
P 87 130 47188 1
P 79 131 18809 1
P 80 131 22543 1
P 81 131 26277 1
P 82 131 30010 1
P 83 131 33744 1
P 84 131 37478 1
P 85 131 41212 1
P 86 131 44946 1
P 79 132 20301 1
P 80 132 24035 1
P 81 132 27769 1
P 82 132 31502 1
P 83 132 35236 1
P 84 132 38970 1
P 85 132 42704 1
P 86 132 46438 1
P 79 133 21793 1
P 80 133 25527 1
P 81 133 29260 1
P 82 133 32994 1
P 83 133 36728 1
P 84 133 40462 1
P 85 133 44196 1
P 78 134 19551 1
P 79 134 23285 1
P 80 134 27018 1
P 81 134 30752 1
P 82 134 34486 1
P 83 134 38220 1
P 84 134 41954 1
P 85 134 45688 1
P 78 135 21043 1
P 79 135 24776 1
P 80 135 28510 1
P 81 135 32244 1
P 82 135 35978 1
P 83 135 39712 1
P 84 135 43446 1
P 77 136 18801 1
P 78 136 22534 1
P 79 136 26268 1
P 80 136 30002 1
P 81 136 33736 1
P 82 136 37470 1
P 83 136 41204 1
P 84 136 44938 1
P 77 137 20292 1
P 78 137 24026 1
P 79 137 27760 1
P 80 137 31494 1
P 81 137 35228 1
P 82 137 38962 1
P 83 137 42696 1
P 84 137 46430 1
P 77 138 21784 1
P 78 138 25518 1
P 79 138 29252 1
P 80 138 32986 1
P 81 138 36720 1
P 82 138 40454 1
P 83 138 44188 1
P 76 139 19542 1
P 77 139 23276 1
P 78 139 27010 1
P 79 139 30744 1
P 80 139 34478 1
P 81 139 38212 1
P 82 139 41946 1
P 83 139 45680 1
P 76 140 21034 1
P 77 140 24768 1
P 78 140 28502 1
P 79 140 32236 1
P 80 140 35970 1
P 81 140 39704 1
P 82 140 43438 1
P 76 141 22526 1
P 77 141 26260 1
P 78 141 29994 1
P 79 141 33728 1
P 80 141 37462 1
P 81 141 41196 1
P 82 141 44930 1
P 75 142 20284 1
P 76 142 24018 1
P 77 142 27752 1
P 78 142 31486 1
P 79 142 35220 1
P 80 142 38954 1
P 81 142 42688 1
P 75 143 21776 1
P 76 143 25510 1
P 77 143 29244 1
P 78 143 32978 1
P 79 143 36712 1
P 80 143 40446 1
P 81 143 44179 1
P 75 144 23268 1
P 76 144 27002 1
P 77 144 30736 1
P 78 144 34470 1
P 79 144 38204 1
P 80 144 41937 1
P 74 145 21026 1
P 75 145 24760 1
P 76 145 28494 1
P 77 145 32228 1
P 78 145 35962 1
P 79 145 39695 1
P 80 145 43429 1
P 74 146 22518 1
P 75 146 26252 1
P 76 146 29986 1
P 77 146 33720 1
P 78 146 37453 1
P 79 146 41187 1
P 73 147 20276 1
P 74 147 24010 1
