# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=1 software=0 unsupported=0 declined=0
# mode hardware
P 160 80 65535 1
P 161 80 65535 1
P 162 80 65535 1
P 163 80 65535 1
P 157 81 65535 1
P 158 81 65535 1
P 159 81 65535 1
P 160 81 65535 1
P 161 81 65535 1
P 162 81 65535 1
P 163 81 65535 1
P 157 82 65535 1
P 158 82 65535 1
P 159 82 65535 1
P 160 82 65535 1
P 161 82 65535 1
P 162 82 65535 1
P 163 82 65535 1
P 157 83 65535 1
P 158 83 65535 1
P 159 83 65535 1
P 160 83 65535 1
P 161 83 65535 1
P 162 83 65535 1
P 163 83 65535 1
P 157 84 65535 1
P 158 84 65535 1
P 159 84 65535 1
P 160 84 65535 1
P 161 84 65535 1
P 162 84 65535 1
P 163 84 65535 1
P 157 85 65535 1
P 158 85 65535 1
P 159 85 65535 1
P 160 85 65535 1
P 161 85 65535 1
P 162 85 65535 1
P 163 85 65535 1
P 157 86 65535 1
P 158 86 65535 1
P 159 86 65535 1
P 160 86 65535 1
P 161 86 65535 1
P 162 86 65535 1
P 157 87 65535 1
P 158 87 65535 1
P 159 87 65535 1
P 160 87 65535 1
P 161 87 65535 1
P 162 87 65535 1
P 157 88 65535 1
P 158 88 65535 1
P 159 88 65535 1
P 160 88 65535 1
P 161 88 65535 1
P 162 88 65535 1
P 157 89 65535 1
P 158 89 65535 1
P 159 89 65535 1
P 160 89 65535 1
P 161 89 65535 1
P 162 89 65535 1
P 157 90 65535 1
P 158 90 65535 1
P 159 90 65535 1
P 160 90 65535 1
P 161 90 65535 1
P 162 90 65535 1
P 157 91 65535 1
P 158 91 65535 1
P 159 91 65535 1
P 160 91 65535 1
P 161 91 65535 1
P 162 91 65535 1
P 157 92 65535 1
P 158 92 65535 1
P 159 92 65535 1
P 160 92 65535 1
P 161 92 65535 1
P 162 92 65535 1
P 157 93 65535 1
P 158 93 65535 1
P 159 93 65535 1
P 160 93 65535 1
P 161 93 65535 1
P 162 93 65535 1
P 157 94 65535 1
P 158 94 65535 1
P 159 94 65535 1
P 160 94 65535 1
P 161 94 65535 1
P 157 95 65535 1
P 158 95 65535 1
P 159 95 65535 1
P 160 95 65535 1
P 161 95 65535 1
P 156 96 65535 1
P 157 96 65535 1
P 158 96 65535 1
P 159 96 65535 1
P 160 96 65535 1
P 161 96 65535 1
P 156 97 65535 1
P 157 97 65535 1
P 158 97 65535 1
P 159 97 65535 1
P 160 97 65535 1
P 161 97 65535 1
P 156 98 65535 1
P 157 98 65535 1
P 158 98 65535 1
P 159 98 65535 1
P 160 98 65535 1
P 161 98 65535 1
P 156 99 65535 1
P 157 99 65535 1
P 158 99 65535 1
P 159 99 65535 1
P 160 99 65535 1
P 161 99 65535 1
P 156 100 65535 1
P 157 100 65535 1
P 158 100 65535 1
P 159 100 65535 1
P 160 100 65535 1
P 161 100 65535 1
P 156 101 65535 1
P 157 101 65535 1
P 158 101 65535 1
P 159 101 65535 1
P 160 101 65535 1
P 161 101 65535 1
P 156 102 65535 1
P 157 102 65535 1
P 158 102 65535 1
P 159 102 65535 1
P 160 102 65535 1
P 161 102 65535 1
P 156 103 65535 1
P 157 103 65535 1
P 158 103 65535 1
P 159 103 65535 1
P 160 103 65535 1
P 156 104 65535 1
P 157 104 65535 1
P 158 104 65535 1
P 159 104 65535 1
P 160 104 65535 1
P 156 105 65535 1
P 157 105 65535 1
P 158 105 65535 1
P 159 105 65535 1
P 160 105 65535 1
P 156 106 65535 1
P 157 106 65535 1
P 158 106 65535 1
P 159 106 65535 1
P 160 106 65535 1
P 156 107 65535 1
P 157 107 65535 1
P 158 107 65535 1
P 159 107 65535 1
P 160 107 65535 1
P 156 108 65535 1
P 157 108 65535 1
P 158 108 65535 1
P 159 108 65535 1
