# depth buffer 320x240, 2 bytes per value, shared origin 0
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=0 software=0 unsupported=0 declined=0
# depth starts clamped: 0
# mode software
P 160 80 33860 1
P 161 80 26386 1
P 162 80 18913 1
P 163 80 11439 1
P 157 81 55592 1
P 158 81 48118 1
P 159 81 40644 1
P 160 81 33171 1
P 161 81 25697 1
P 162 81 18224 1
P 163 81 10750 1
P 157 82 54903 1
P 158 82 47429 1
P 159 82 39956 1
P 160 82 32482 1
P 161 82 25008 1
P 162 82 17535 1
P 163 82 10061 1
P 157 83 54214 1
P 158 83 46740 1
P 159 83 39267 1
P 160 83 31793 1
P 161 83 24319 1
P 162 83 16846 1
P 163 83 9372 1
P 157 84 53525 1
P 158 84 46051 1
P 159 84 38578 1
P 160 84 31104 1
P 161 84 23631 1
P 162 84 16157 1
P 163 84 8683 1
P 157 85 52836 1
P 158 85 45362 1
P 159 85 37889 1
P 160 85 30415 1
P 161 85 22942 1
P 162 85 15468 1
P 163 85 7994 1
P 157 86 52147 1
P 158 86 44673 1
P 159 86 37200 1
P 160 86 29726 1
P 161 86 22253 1
P 162 86 14779 1
P 157 87 51458 1
P 158 87 43984 1
P 159 87 36511 1
P 160 87 29037 1
P 161 87 21564 1
P 162 87 14090 1
P 157 88 50769 1
P 158 88 43295 1
P 159 88 35822 1
P 160 88 28348 1
P 161 88 20875 1
P 162 88 13401 1
P 157 89 50080 1
P 158 89 42606 1
P 159 89 35133 1
P 160 89 27659 1
P 161 89 20186 1
P 162 89 12712 1
P 157 90 49391 1
P 158 90 41917 1
P 159 90 34444 1
P 160 90 26970 1
P 161 90 19497 1
P 162 90 12023 1
P 157 91 48702 1
P 158 91 41228 1
P 159 91 33755 1
P 160 91 26281 1
P 161 91 18808 1
P 162 91 11334 1
P 157 92 48013 1
P 158 92 40539 1
P 159 92 33066 1
P 160 92 25592 1
P 161 92 18119 1
P 162 92 10645 1
P 157 93 47324 1
P 158 93 39850 1
P 159 93 32377 1
P 160 93 24903 1
P 161 93 17430 1
P 162 93 9956 1
P 157 94 46635 1
P 158 94 39161 1
P 159 94 31688 1
P 160 94 24214 1
P 161 94 16741 1
P 162 94 9267 1
P 157 95 45946 1
P 158 95 38472 1
P 159 95 30999 1
P 160 95 23525 1
P 161 95 16052 1
P 156 96 52731 1
P 157 96 45257 1
P 158 96 37783 1
P 159 96 30310 1
P 160 96 22836 1
P 161 96 15363 1
P 156 97 52042 1
P 157 97 44568 1
P 158 97 37094 1
P 159 97 29621 1
P 160 97 22147 1
P 161 97 14674 1
P 156 98 51353 1
P 157 98 43879 1
P 158 98 36406 1
