# shape E mode zplane ntri 4
# select hard 1 soft 0
# v0 40.0000000 60.0000000
# v1 120.0000000 52.0000000
# v2 200.0000000 64.0000000
# v3 280.0000000 56.0000000
# v4 48.0000000 180.0000000
# v5 128.0000000 188.0000000
# v6 208.0000000 176.0000000
# v7 288.0000000 184.0000000
# t0 0 4 1
# t1 4 5 1
# t2 1 5 2
# t3 5 6 2
# counters drawn=4 software=0 declined=0 warp=4
# mode hardware
# depth starts clamped: 0
Z 153 57 31573
Z 154 57 31633
Z 155 57 31694
Z 156 57 31754
Z 55 58 25697
Z 56 58 25757
Z 57 58 25818
Z 58 58 25878
Z 59 58 25938
Z 60 58 25999
Z 61 58 26059
Z 62 58 26120
Z 63 58 26180
Z 64 58 26240
Z 65 58 26301
Z 66 58 26361
Z 67 58 26421
Z 68 58 26482
Z 69 58 26542
Z 70 58 26603
Z 71 58 26663
Z 72 58 26723
Z 73 58 26784
Z 74 58 26844
Z 75 58 26904
Z 76 58 26965
Z 77 58 27025
Z 78 58 27085
Z 79 58 27146
Z 80 58 27206
Z 81 58 27267
Z 82 58 27327
Z 83 58 27387
Z 84 58 27448
Z 85 58 27508
Z 86 58 27568
Z 87 58 27629
Z 88 58 27689
Z 89 58 27750
Z 90 58 27810
Z 91 58 27870
Z 92 58 27931
Z 93 58 27991
Z 94 58 28051
Z 95 58 28112
Z 96 58 28172
Z 97 58 28233
Z 98 58 28293
Z 99 58 28353
Z 100 58 28414
Z 101 58 28474
Z 102 58 28534
Z 103 58 28595
Z 104 58 28655
Z 105 58 28715
Z 106 58 28776
Z 107 58 28836
Z 108 58 28897
Z 109 58 28957
Z 110 58 29017
Z 111 58 29078
Z 112 58 29138
Z 113 58 29198
Z 114 58 29259
Z 115 58 29319
Z 116 58 29380
Z 117 58 29440
Z 118 58 29500
Z 119 58 29561
Z 120 58 29621
Z 121 58 29681
Z 122 58 29742
Z 123 58 29802
Z 124 58 29862
Z 125 58 29923
Z 126 58 29983
Z 127 58 30044
Z 128 58 30104
Z 129 58 30164
Z 130 58 30225
Z 131 58 30285
Z 132 58 30345
Z 133 58 30406
Z 134 58 30466
Z 135 58 30527
Z 136 58 30587
Z 137 58 30647
Z 138 58 30708
Z 139 58 30768
Z 140 58 30828
Z 141 58 30889
Z 142 58 30949
Z 143 58 31010
Z 144 58 31070
Z 145 58 31130
Z 146 58 31191
Z 147 58 31251
Z 148 58 31311
Z 149 58 31372
Z 150 58 31432
Z 151 58 31492
Z 152 58 31553
Z 153 58 31613
Z 154 58 31674
Z 155 58 31734
Z 156 58 31794
Z 157 58 31855
Z 158 58 31915
Z 159 58 31975
Z 160 58 32036
Z 161 58 32096
Z 162 58 32157
Z 45 59 25133
Z 46 59 25194
Z 47 59 25254
Z 48 59 25315
Z 49 59 25375
Z 50 59 25435
Z 51 59 25496
Z 52 59 25556
Z 53 59 25616
Z 54 59 25677
Z 55 59 25737
Z 56 59 25797
Z 57 59 25858
Z 58 59 25918
Z 59 59 25979
Z 60 59 26039
Z 61 59 26099
Z 62 59 26160
Z 63 59 26220
Z 64 59 26280
Z 65 59 26341
Z 66 59 26401
Z 67 59 26462
Z 68 59 26522
Z 69 59 26582
Z 70 59 26643
Z 71 59 26703
Z 72 59 26763
Z 73 59 26824
Z 74 59 26884
Z 75 59 26944
Z 76 59 27005
Z 77 59 27065
Z 78 59 27126
Z 79 59 27186
Z 80 59 27246
Z 81 59 27307
Z 82 59 27367
Z 83 59 27427
Z 84 59 27488
Z 85 59 27548
Z 86 59 27609
Z 87 59 27669
Z 88 59 27729
Z 89 59 27790
Z 90 59 27850
Z 91 59 27910
Z 92 59 27971
Z 93 59 28031
Z 94 59 28092
Z 95 59 28152
Z 96 59 28212
Z 97 59 28273
Z 98 59 28333
Z 99 59 28393
Z 100 59 28454
Z 101 59 28514
Z 102 59 28574
Z 103 59 28635
Z 104 59 28695
Z 105 59 28756
Z 106 59 28816
Z 107 59 28876
Z 108 59 28937
Z 109 59 28997
Z 110 59 29057
Z 111 59 29118
Z 112 59 29178
Z 113 59 29239
Z 114 59 29299
Z 115 59 29359
Z 116 59 29420
Z 117 59 29480
Z 118 59 29540
Z 119 59 29601
Z 120 59 29661
Z 121 59 29721
Z 122 59 29782
Z 123 59 29842
Z 124 59 29903
Z 125 59 29963
Z 126 59 30023
Z 127 59 30084
Z 128 59 30144
Z 129 59 30204
Z 130 59 30265
Z 131 59 30325
Z 132 59 30386
Z 133 59 30446
Z 134 59 30506
Z 135 59 30567
Z 136 59 30627
Z 137 59 30687
Z 138 59 30748
Z 139 59 30808
Z 140 59 30869
Z 141 59 30929
Z 142 59 30989
Z 143 59 31050
Z 144 59 31110
Z 145 59 31170
Z 146 59 31231
Z 147 59 31291
Z 148 59 31351
Z 149 59 31412
Z 150 59 31472
Z 151 59 31533
Z 152 59 31593
Z 153 59 31653
Z 154 59 31714
Z 155 59 31774
Z 156 59 31834
Z 157 59 31895
Z 158 59 31955
Z 159 59 32016
Z 160 59 32076
Z 161 59 32136
Z 162 59 32197
Z 163 59 32257
Z 164 59 32317
Z 165 59 32378
Z 166 59 32438
Z 167 59 32499
Z 168 59 32559
Z 169 59 32619
Z 40 60 24872
Z 41 60 24932
Z 42 60 24992
Z 43 60 25053
Z 44 60 25113
Z 45 60 25174
Z 46 60 25234
Z 47 60 25294
Z 48 60 25355
Z 49 60 25415
Z 50 60 25475
Z 51 60 25536
Z 52 60 25596
Z 53 60 25656
Z 54 60 25717
Z 55 60 25777
Z 56 60 25838
Z 57 60 25898
Z 58 60 25958
Z 59 60 26019
Z 60 60 26079
Z 61 60 26139
Z 62 60 26200
Z 63 60 26260
Z 64 60 26321
Z 65 60 26381
Z 66 60 26441
Z 67 60 26502
Z 68 60 26562
Z 69 60 26622
Z 70 60 26683
Z 71 60 26743
Z 72 60 26803
Z 73 60 26864
Z 74 60 26924
Z 75 60 26985
Z 76 60 27045
Z 77 60 27105
Z 78 60 27166
Z 79 60 27226
Z 80 60 27286
Z 81 60 27347
Z 82 60 27407
Z 83 60 27468
Z 84 60 27528
Z 85 60 27588
Z 86 60 27649
Z 87 60 27709
