# shape B mode zplane ntri 2
# select hard 1 soft 0
# v0 40.2890625 40.2890625
# v1 200.2890625 40.2890625
# v2 200.2890625 180.2890625
# v3 40.2890625 180.2890625
# t0 0 1 2
# t1 0 2 3
# counters drawn=2 software=0 declined=0 warp=0
# mode hardware
# depth starts clamped: 0
Z 184 41 32803
Z 185 41 32864
Z 186 41 32924
Z 187 41 32984
Z 188 41 33045
Z 189 41 33105
Z 190 41 33166
Z 191 41 33226
Z 192 41 33286
Z 193 41 33347
Z 194 41 33407
Z 195 41 33467
Z 196 41 33528
Z 197 41 33588
Z 198 41 33649
Z 199 41 33709
Z 40 42 24150
Z 41 42 24211
Z 42 42 24271
Z 43 42 24331
Z 44 42 24392
Z 45 42 24452
Z 46 42 24512
Z 47 42 24573
Z 48 42 24633
Z 49 42 24693
Z 50 42 24754
Z 51 42 24814
Z 52 42 24875
Z 53 42 24935
Z 54 42 24995
Z 55 42 25056
Z 56 42 25116
Z 57 42 25176
Z 58 42 25237
Z 59 42 25297
Z 60 42 25358
Z 61 42 25418
Z 62 42 25478
Z 63 42 25539
Z 64 42 25599
Z 65 42 25659
Z 66 42 25720
Z 67 42 25780
Z 68 42 25841
Z 69 42 25901
Z 70 42 25961
Z 71 42 26022
Z 72 42 26082
Z 73 42 26142
Z 74 42 26203
Z 75 42 26263
Z 76 42 26323
Z 77 42 26384
Z 78 42 26444
Z 79 42 26505
Z 80 42 26565
Z 81 42 26625
Z 82 42 26686
Z 83 42 26746
Z 84 42 26806
Z 85 42 26867
Z 86 42 26927
Z 87 42 26988
Z 88 42 27048
Z 89 42 27108
Z 90 42 27169
Z 91 42 27229
Z 92 42 27289
Z 93 42 27350
Z 94 42 27410
Z 95 42 27471
Z 96 42 27531
Z 97 42 27591
Z 98 42 27652
Z 99 42 27712
Z 100 42 27772
Z 101 42 27833
Z 102 42 27893
Z 103 42 27953
Z 104 42 28014
Z 105 42 28074
Z 106 42 28135
Z 107 42 28195
Z 108 42 28255
Z 109 42 28316
Z 110 42 28376
Z 111 42 28436
Z 112 42 28497
Z 113 42 28557
Z 114 42 28618
Z 115 42 28678
Z 116 42 28738
Z 117 42 28799
Z 118 42 28859
Z 119 42 28919
Z 120 42 28980
Z 121 42 29040
Z 122 42 29101
Z 123 42 29161
Z 124 42 29221
Z 125 42 29282
Z 126 42 29342
Z 127 42 29402
Z 128 42 29463
Z 129 42 29523
Z 130 42 29583
Z 131 42 29644
Z 132 42 29704
Z 133 42 29765
Z 134 42 29825
Z 135 42 29885
Z 136 42 29946
Z 137 42 30006
Z 138 42 30066
Z 139 42 30127
Z 140 42 30187
Z 141 42 30248
Z 142 42 30308
Z 143 42 30368
Z 144 42 30429
Z 145 42 30489
Z 146 42 30549
Z 147 42 30610
Z 148 42 30670
Z 149 42 30730
Z 150 42 30791
Z 151 42 30851
Z 152 42 30912
Z 153 42 30972
Z 154 42 31032
Z 155 42 31093
Z 156 42 31153
Z 157 42 31213
Z 158 42 31274
Z 159 42 31334
Z 160 42 31395
Z 161 42 31455
Z 162 42 31515
Z 163 42 31576
Z 164 42 31636
Z 165 42 31696
Z 166 42 31757
Z 167 42 31817
Z 168 42 31878
Z 169 42 31938
Z 170 42 31998
Z 171 42 32059
Z 172 42 32119
Z 173 42 32179
Z 174 42 32240
Z 175 42 32300
Z 176 42 32360
Z 177 42 32421
Z 178 42 32481
Z 179 42 32542
Z 180 42 32602
Z 181 42 32662
Z 182 42 32723
Z 183 42 32783
Z 184 42 32843
Z 185 42 32904
Z 186 42 32964
Z 187 42 33025
Z 188 42 33085
Z 189 42 33145
Z 190 42 33206
Z 191 42 33266
Z 192 42 33326
Z 193 42 33387
Z 194 42 33447
Z 195 42 33508
Z 196 42 33568
Z 197 42 33628
Z 198 42 33689
Z 199 42 33749
Z 40 43 24190
Z 41 43 24251
Z 42 43 24311
Z 43 43 24371
Z 44 43 24432
Z 45 43 24492
Z 46 43 24552
Z 47 43 24613
Z 48 43 24673
Z 49 43 24734
Z 50 43 24794
Z 51 43 24854
Z 52 43 24915
Z 53 43 24975
Z 54 43 25035
Z 55 43 25096
Z 56 43 25156
Z 57 43 25217
Z 58 43 25277
Z 59 43 25337
Z 60 43 25398
Z 61 43 25458
Z 62 43 25518
Z 63 43 25579
Z 64 43 25639
Z 65 43 25700
Z 66 43 25760
Z 67 43 25820
Z 68 43 25881
Z 69 43 25941
Z 70 43 26001
Z 71 43 26062
Z 72 43 26122
Z 73 43 26182
Z 74 43 26243
Z 75 43 26303
Z 76 43 26364
Z 77 43 26424
Z 78 43 26484
Z 79 43 26545
Z 80 43 26605
Z 81 43 26665
Z 82 43 26726
Z 83 43 26786
Z 84 43 26847
Z 85 43 26907
Z 86 43 26967
Z 87 43 27028
Z 88 43 27088
Z 89 43 27148
Z 90 43 27209
Z 91 43 27269
Z 92 43 27330
Z 93 43 27390
Z 94 43 27450
Z 95 43 27511
Z 96 43 27571
Z 97 43 27631
Z 98 43 27692
Z 99 43 27752
Z 100 43 27812
Z 101 43 27873
Z 102 43 27933
Z 103 43 27994
Z 104 43 28054
Z 105 43 28114
Z 106 43 28175
Z 107 43 28235
Z 108 43 28295
Z 109 43 28356
Z 110 43 28416
Z 111 43 28477
Z 112 43 28537
Z 113 43 28597
Z 114 43 28658
Z 115 43 28718
Z 116 43 28778
Z 117 43 28839
Z 118 43 28899
Z 119 43 28960
Z 120 43 29020
Z 121 43 29080
Z 122 43 29141
Z 123 43 29201
Z 124 43 29261
Z 125 43 29322
Z 126 43 29382
Z 127 43 29442
Z 128 43 29503
Z 129 43 29563
Z 130 43 29624
Z 131 43 29684
Z 132 43 29744
Z 133 43 29805
Z 134 43 29865
Z 135 43 29925
Z 136 43 29986
Z 137 43 30046
Z 138 43 30107
Z 139 43 30167
Z 140 43 30227
Z 141 43 30288
Z 142 43 30348
Z 143 43 30408
Z 144 43 30469
Z 145 43 30529
Z 146 43 30589
Z 147 43 30650
Z 148 43 30710
Z 149 43 30771
Z 150 43 30831
Z 151 43 30891
Z 152 43 30952
Z 153 43 31012
Z 154 43 31072
Z 155 43 31133
Z 156 43 31193
Z 157 43 31254
Z 158 43 31314
Z 159 43 31374
Z 160 43 31435
Z 161 43 31495
Z 162 43 31555
Z 163 43 31616
Z 164 43 31676
Z 165 43 31737
Z 166 43 31797
Z 167 43 31857
Z 168 43 31918
Z 169 43 31978
Z 170 43 32038
Z 171 43 32099
Z 172 43 32159
Z 173 43 32219
Z 174 43 32280
Z 175 43 32340
Z 176 43 32401
Z 177 43 32461
Z 178 43 32521
Z 179 43 32582
Z 180 43 32642
Z 181 43 32702
Z 182 43 32763
Z 183 43 32823
Z 184 43 32884
Z 185 43 32944
Z 186 43 33004
Z 187 43 33065
Z 188 43 33125
Z 189 43 33185
Z 190 43 33246
Z 191 43 33306
Z 192 43 33367
Z 193 43 33427
Z 194 43 33487
Z 195 43 33548
Z 196 43 33608
Z 197 43 33668
Z 198 43 33729
Z 199 43 33789
Z 40 44 24230
Z 41 44 24291
Z 42 44 24351
Z 43 44 24411
Z 44 44 24472
Z 45 44 24532
Z 46 44 24593
Z 47 44 24653
Z 48 44 24713
Z 49 44 24774
Z 50 44 24834
Z 51 44 24894
Z 52 44 24955
Z 53 44 25015
Z 54 44 25076
Z 55 44 25136
Z 56 44 25196
Z 57 44 25257
Z 58 44 25317
Z 59 44 25377
Z 60 44 25438
Z 61 44 25498
Z 62 44 25559
Z 63 44 25619
Z 64 44 25679
Z 65 44 25740
Z 66 44 25800
Z 67 44 25860
Z 68 44 25921
Z 69 44 25981
Z 70 44 26041
Z 71 44 26102
Z 72 44 26162
Z 73 44 26223
Z 74 44 26283
Z 75 44 26343
Z 76 44 26404
Z 77 44 26464
Z 78 44 26524
Z 79 44 26585
Z 80 44 26645
Z 81 44 26706
Z 82 44 26766
Z 83 44 26826
Z 84 44 26887
Z 85 44 26947
Z 86 44 27007
Z 87 44 27068
Z 88 44 27128
Z 89 44 27189
Z 90 44 27249
Z 91 44 27309
Z 92 44 27370
Z 93 44 27430
Z 94 44 27490
Z 95 44 27551
Z 96 44 27611
Z 97 44 27671
Z 98 44 27732
Z 99 44 27792
Z 100 44 27853
Z 101 44 27913
Z 102 44 27973
Z 103 44 28034
Z 104 44 28094
Z 105 44 28154
Z 106 44 28215
Z 107 44 28275
Z 108 44 28336
Z 109 44 28396
Z 110 44 28456
Z 111 44 28517
Z 112 44 28577
Z 113 44 28637
Z 114 44 28698
Z 115 44 28758
Z 116 44 28819
Z 117 44 28879
Z 118 44 28939
Z 119 44 29000
Z 120 44 29060
Z 121 44 29120
Z 122 44 29181
Z 123 44 29241
Z 124 44 29301
Z 125 44 29362
Z 126 44 29422
Z 127 44 29483
Z 128 44 29543
Z 129 44 29603
Z 130 44 29664
Z 131 44 29724
Z 132 44 29784
Z 133 44 29845
